"","(Intercept)","scale(annual_precipitation)","scale(mean_temperature)","scale(Percent_of_forest_cover_1km)","scale(Human_modification_1km)","scale(Patch_density_1km)","scale(Edge_density_1km)","riverOriginoutsideGLGS","Regional_DivisionNorthwest","Regional_DivisionSouthwest","riverdy","riverlc","rivernu"
"68",1,-0.0588782936386736,-0.126802728965989,-0.0556670017655298,-0.270400778692957,-0.0508547240471636,1.06148536701423,0,0,0,0,0,1
"69",1,0.398560756938718,0.115459138656998,0.133439648342302,-0.412363420095472,-0.0508547240471636,0.451965596538923,0,0,0,0,0,1
"70",1,-0.107313016640986,-0.124279157315788,0.18424492465126,-0.472487400623676,0.173566058381629,0.386662279821734,0,0,0,0,0,1
"71",1,0.161768777816303,0.0170403015641183,-0.253241710209085,-0.363717654031744,0.387467211937632,2.14989379540351,0,0,0,0,0,1
"72",1,0.0379911523659504,0.0195638732143191,-0.050023678678637,-0.0576372415969465,-0.0508547240471636,0.974409615367131,0,0,0,0,0,1
"73",1,-1.12982383557868,-0.724886959838345,0.576572679994925,-0.266378362343409,1.74894665815165,1.09413702537283,1,0,0,0,0,1
"74",1,-0.107313016640986,0.75139690818243,-0.913707228520158,1.07164288199395,1.51494237833362,1.36624350374282,0,0,0,0,0,1
"75",1,-0.693911328557875,0.65297787855704,0.0826343720333436,1.12406695998496,0.387467211937632,1.355360783296,0,0,0,0,0,1
"76",1,-0.580896974885814,0.758967574999883,-0.9504011234065,1.47271706101616,1.30221121486268,1.11590596328461,0,0,0,0,0,1
"77",1,-0.817688954008228,0.650454258773719,0.0205393758452153,1.35289362938979,1.30221121486268,0.626113602814992,0,0,0,0,0,1
"78",1,-1.21054837391587,0.269396431721333,0.542703520357414,0.270083558533704,1.30221121486268,0.930871739543579,0,0,0,0,0,1
"79",1,-0.849978769343103,0.10536497238904,-1.14233250876316,0.603800836863548,0.621471491755667,0.865568422826389,1,0,1,0,1,0
"80",1,-0.44635607765717,-0.290834332697672,-1.67860803469798,1.54479685161763,-0.275273240974157,-0.516732906935345,1,0,1,0,1,0
